,Date,Open,,,,,,,,,,,,,
1,Jan 02. 2017,"1,150.55",,,,,,,,,,,,,
2,Jan 03. 2017,"1,150.80",,,,,,,,,,,,,
3,Jan 04. 2017,"1,159.28",,,,,,,,,,,,,
4,Jan 05. 2017,"1,163.67",,,,,,,,,,,,,
5,Jan 06. 2017,"1,180.38",,,,,,,,,,,,,
6,Jan 09. 2017,"1,172.64",,,,,,,,,,,,,
7,Jan 10. 2017,"1,181.32",,,,,,,,,,,,,
8,Jan 11. 2017,"1,187.74",,,,,,,,,,,,,
9,Jan 12. 2017,"1,191.75",,,,,,,,,,,,,
10,Jan 13. 2017,"1,195.96",,,,,,,,,,,,,
11,Jan 16. 2017,"1,200.55",,,,,,,,,,,,,
12,Jan 17. 2017,"1,202.80",,,,,,,,,,,,,
13,Jan 18. 2017,"1,216.56",,,,,,,,,,,,,
14,Jan 19. 2017,"1,203.92",,,,,,,,,,,,,
15,Jan 20. 2017,"1,205.16",,,,,,,,,,,,,
16,Jan 23. 2017,"1,209.43",,,,,,,,,,,,,
17,Jan 24. 2017,"1,217.40",,,,,,,,,,,,,
18,Jan 25. 2017,"1,208.79",,,,,,,,,,,,,
19,Jan 26. 2017,"1,199.93",,,,,,,,,,,,,
20,Jan 27. 2017,"1,188.78",,,,,,,,,,,,,
21,Jan 30. 2017,"1,192.85",,,,,,,,,,,,,
22,Jan 31. 2017,"1,195.38",,,,,,,,,,,,,
23,Feb 01. 2017,"1,210.89",,,,,,,,,,,,,
24,Feb 02. 2017,"1,209.53",,,,,,,,,,,,,
25,Feb 03. 2017,"1,215.89",,,,,,,,,,,,,
26,Feb 06. 2017,"1,219.67",,,,,,,,,,,,,
27,Feb 07. 2017,"1,235.23",,,,,,,,,,,,,
28,Feb 08. 2017,"1,234.04",,,,,,,,,,,,,
29,Feb 09. 2017,"1,242.48",,,,,,,,,,,,,
30,Feb 10. 2017,"1,230.62",,,,,,,,,,,,,
31,Feb 13. 2017,"1,231.84",,,,,,,,,,,,,
32,Feb 14. 2017,"1,225.74",,,,,,,,,,,,,
33,Feb 15. 2017,"1,228.89",,,,,,,,,,,,,
34,Feb 16. 2017,"1,233.34",,,,,,,,,,,,,
35,Feb 17. 2017,"1,239.25",,,,,,,,,,,,,
36,Feb 20. 2017,"1,235.20",,,,,,,,,,,,,
37,Feb 21. 2017,"1,237.03",,,,,,,,,,,,,
38,Feb 22. 2017,"1,236.22",,,,,,,,,,,,,
39,Feb 23. 2017,"1,237.79",,,,,,,,,,,,,
40,Feb 24. 2017,"1,249.52",,,,,,,,,,,,,
41,Feb 27. 2017,"1,257.41",,,,,,,,,,,,,
42,Feb 28. 2017,"1,252.48",,,,,,,,,,,,,
43,Mar 01. 2017,"1,248.57",,,,,,,,,,,,,
44,Mar 02. 2017,"1,249.44",,,,,,,,,,,,,
45,Mar 03. 2017,"1,234.80",,,,,,,,,,,,,
46,Mar 06. 2017,"1,232.81",,,,,,,,,,,,,
47,Mar 07. 2017,"1,225.62",,,,,,,,,,,,,
48,Mar 08. 2017,"1,215.65",,,,,,,,,,,,,
49,Mar 09. 2017,"1,207.63",,,,,,,,,,,,,
50,Mar 10. 2017,"1,200.80",,,,,,,,,,,,,
51,Mar 13. 2017,"1,205.43",,,,,,,,,,,,,
52,Mar 14. 2017,"1,204.25",,,,,,,,,,,,,
53,Mar 15. 2017,"1,199.11",,,,,,,,,,,,,
54,Mar 16. 2017,"1,219.03",,,,,,,,,,,,,
55,Mar 17. 2017,"1,227.31",,,,,,,,,,,,,
56,Mar 20. 2017,"1,229.79",,,,,,,,,,,,,
57,Mar 21. 2017,"1,233.78",,,,,,,,,,,,,
58,Mar 22. 2017,"1,244.15",,,,,,,,,,,,,
59,Mar 23. 2017,"1,248.86",,,,,,,,,,,,,
60,Mar 24. 2017,"1,244.88",,,,,,,,,,,,,
61,Mar 27. 2017,"1,248.01",,,,,,,,,,,,,
62,Mar 28. 2017,"1,253.82",,,,,,,,,,,,,
63,Mar 29. 2017,"1,251.64",,,,,,,,,,,,,
64,Mar 30. 2017,"1,253.10",,,,,,,,,,,,,
65,Mar 31. 2017,"1,242.83",,,,,,,,,,,,,
66,Apr 03. 2017,"1,248.40",,,,,,,,,,,,,
67,Apr 04. 2017,"1,255.46",,,,,,,,,,,,,
68,Apr 05. 2017,"1,255.73",,,,,,,,,,,,,
69,Apr 06. 2017,"1,256.40",,,,,,,,,,,,,
70,Apr 07. 2017,"1,252.11",,,,,,,,,,,,,
71,Apr 10. 2017,"1,254.26",,,,,,,,,,,,,
72,Apr 11. 2017,"1,255.23",,,,,,,,,,,,,
73,Apr 12. 2017,"1,274.51",,,,,,,,,,,,,
74,Apr 13. 2017,"1,285.54",,,,,,,,,,,,,
75,Apr 14. 2017,"1,287.35",,,,,,,,,,,,,
76,Apr 17. 2017,"1,292.96",,,,,,,,,,,,,
77,Apr 18. 2017,"1,284.94",,,,,,,,,,,,,
78,Apr 19. 2017,"1,290.21",,,,,,,,,,,,,
79,Apr 20. 2017,"1,280.06",,,,,,,,,,,,,
80,Apr 21. 2017,"1,281.96",,,,,,,,,,,,,
81,Apr 24. 2017,"1,269.88",,,,,,,,,,,,,
82,Apr 25. 2017,"1,276.96",,,,,,,,,,,,,
83,Apr 26. 2017,"1,264.41",,,,,,,,,,,,,
84,Apr 27. 2017,"1,268.80",,,,,,,,,,,,,
85,Apr 28. 2017,"1,264.26",,,,,,,,,,,,,
86,May 01. 2017,"1,268.60",,,,,,,,,,,,,
87,May 02. 2017,"1,256.51",,,,,,,,,,,,,
88,May 03. 2017,"1,256.71",,,,,,,,,,,,,
89,May 04. 2017,"1,238.66",,,,,,,,,,,,,
90,May 05. 2017,"1,227.93",,,,,,,,,,,,,
91,May 08. 2017,"1,225.67",,,,,,,,,,,,,
92,May 09. 2017,"1,226.12",,,,,,,,,,,,,
93,May 10. 2017,"1,221.42",,,,,,,,,,,,,
94,May 11. 2017,"1,218.74",,,,,,,,,,,,,
95,May 12. 2017,"1,225.41",,,,,,,,,,,,,
96,May 15. 2017,"1,228.40",,,,,,,,,,,,,
97,May 16. 2017,"1,231.46",,,,,,,,,,,,,
98,May 17. 2017,"1,237.31",,,,,,,,,,,,,
99,May 18. 2017,"1,261.56",,,,,,,,,,,,,
100,May 19. 2017,"1,246.67",,,,,,,,,,,,,
101,May 22. 2017,"1,256.10",,,,,,,,,,,,,
102,May 23. 2017,"1,260.13",,,,,,,,,,,,,
103,May 24. 2017,"1,251.26",,,,,,,,,,,,,
104,May 25. 2017,"1,258.49",,,,,,,,,,,,,
105,May 26. 2017,"1,255.60",,,,,,,,,,,,,
106,May 29. 2017,"1,267.47",,,,,,,,,,,,,
107,May 30. 2017,"1,267.24",,,,,,,,,,,,,
108,May 31. 2017,"1,263.05",,,,,,,,,,,,,
109,Jun 01. 2017,"1,268.89",,,,,,,,,,,,,
110,Jun 02. 2017,"1,266.11",,,,,,,,,,,,,
111,Jun 05. 2017,"1,279.34",,,,,,,,,,,,,
112,Jun 06. 2017,"1,280.26",,,,,,,,,,,,,
113,Jun 07. 2017,"1,294.39",,,,,,,,,,,,,
114,Jun 08. 2017,"1,287.45",,,,,,,,,,,,,
115,Jun 09. 2017,"1,279.29",,,,,,,,,,,,,
116,Jun 12. 2017,"1,267.42",,,,,,,,,,,,,
117,Jun 13. 2017,"1,264.75",,,,,,,,,,,,,
118,Jun 14. 2017,"1,266.28",,,,,,,,,,,,,
119,Jun 15. 2017,"1,260.70",,,,,,,,,,,,,
120,Jun 16. 2017,"1,254.36",,,,,,,,,,,,,
